Cluster,Iteration,SR Mode
"(1, 4)",k = 13,1.0
"(9, 11)",k = 10,1.0
"(12, 13)",k = 3,1.0
"(6, 8)",k = 9,1.0
"(8, 12)",k = 6,1.0
"(4, 6)",k = 11,1.0
"(5, 11)",k = 5,0.947
"(7, 10)",k = 8,0.929
"(8, 12, 13)",k = 3,0.667
"(4, 6, 8)",k = 9,0.667
"(6, 8, 12)",k = 6,0.667
"(1, 4, 6)",k = 11,0.667
"(5, 9, 11)",k = 5,0.649
"(1, 2, 4)",k = 12,0.634
"(1, 4, 6, 8)",k = 9,0.5
"(6, 8, 12, 13)",k = 3,0.5
"(4, 6, 8, 12)",k = 6,0.5
"(1, 2, 4, 6)",k = 11,0.484
"(4, 6, 8, 12, 13)",k = 3,0.4
"(1, 4, 6, 8, 12)",k = 6,0.4
"(1, 2, 4, 6, 8)",k = 9,0.39
"(1, 4, 6, 8, 12, 13)",k = 3,0.333
"(1, 2, 4, 6, 8, 12)",k = 6,0.327
"(1, 2, 3, 4, 6, 8)",k = 7,0.322
"(1, 2, 4, 6, 8, 12, 13)",k = 3,0.281
"(1, 2, 3, 4, 6, 8, 12)",k = 6,0.278
"(1, 2, 3, 4, 6, 8, 12, 13)",k = 3,0.244
"(1, 2, 3, 4, 6, 8, 11, 12)",k = 4,0.241
"(1, 2, 3, 4, 6, 8, 11, 12, 13)",k = 3,0.215
"(1, 2, 3, 4, 5, 6, 8, 11, 12)",k = 4,0.211
"(1, 2, 3, 4, 5, 6, 8, 11, 12, 13)",k = 3,0.191
"(1, 2, 3, 4, 5, 6, 8, 9, 11, 12)",k = 4,0.189
"(1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13)",k = 3,0.173
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13)",k = 2,0.157
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",k = 2,0.144
