Cluster,Iteration,SR Mode
"(0, 12)",k = 11,1.0
"(6, 9)",k = 11,0.926
"(8, 10)",k = 11,1.0
"(0, 5, 12)",k = 10,0.667
"(6, 9)",k = 10,0.926
"(8, 10)",k = 10,1.0
"(0, 5, 6, 12)",k = 9,0.483
"(8, 9, 10)",k = 9,0.642
"(8, 9, 10)",k = 8,0.642
"(0, 3, 5, 6, 12)",k = 8,0.39
"(4, 8, 9, 10)",k = 7,0.479
"(0, 3, 5, 6, 12)",k = 7,0.39
"(4, 8, 9, 10)",k = 6,0.479
"(0, 3, 5, 6, 7, 12)",k = 6,0.326
"(4, 8, 9, 10)",k = 5,0.479
"(0, 2, 3, 5, 6, 7, 12)",k = 5,0.278
"(4, 8, 9, 10)",k = 4,0.479
"(0, 1, 2, 3, 5, 6, 7, 12)",k = 4,0.24
"(4, 8, 9, 10)",k = 3,0.479
"(0, 1, 2, 3, 5, 6, 7, 11, 12)",k = 3,0.215
"(4, 8, 9, 10)",k = 2,0.479
"(0, 1, 2, 3, 5, 6, 7, 11, 12, 13)",k = 2,0.194
